Ticker,Nome,Negócios,Última (R$),Variação,marketCap,marketCap_date
ENMT3,Energisa MT,100,"75,50","+2,03%",15886181376.0,17/02/2024
BRKM5,Braskem,11.251.100,"19,25","+10,32%",15592172544.0,17/02/2024
BRKM3,Braskem,47.600,"19,80","+7,20%",15592163328.0,17/02/2024
BRKM6,Braskem,100,"14,03","-6,40%",15592100864.0,17/02/2024
MULT3,Multiplan,6.779.100,"25,90","+0,82%",15075016704.0,17/02/2024
MGLU3,Magazine Luiza,108.019.800,"2,04","-0,97%",14595485696.0,17/02/2024
REDE3,Rede Energia,1.200,"6,91","+0,58%",14582310912.0,17/02/2024
SMFT3,Smart Fit,1.155.500,"24,40","-0,81%",14304304128.0,17/02/2024
CIEL3,Cielo,41.786.100,"5,28","+0,57%",14243749888.0,17/02/2024
LREN3,Lojas Renner,10.531.100,"14,40","-0,48%",13760654336.0,17/02/2024
CGAS5,Comgás,1.900,"112,50","+0,00%",13714199552.0,17/02/2024
CGAS3,Comgás,1.900,"101,00","-8,34%",13714184192.0,17/02/2024
ALOS3,ALOS3,5.171.100,"23,47","-0,30%",13316877312.0,17/02/2024
MDIA3,M. Dias Branco,603.900,"39,05","+0,00%",13133490176.0,17/02/2024
AURE3,VTRM ENERGIA PARTICIPAÃiES S.A.,3.137.500,"13,04","+0,38%",13040000000.0,17/02/2024
USIM3,Usiminas,1.495.500,"9,95","+4,19%",12332826624.0,17/02/2024
USIM6,Usiminas,300,"16,28","+8,46%",12332800000.0,17/02/2024
USIM5,Usiminas,20.479.700,"10,11","+2,33%",12332783616.0,17/02/2024
GGPS3,GPS,1.571.400,"18,29","-0,38%",12293989376.0,17/02/2024
TAEE3,Taesa,189.200,"11,83","-0,59%",12288293888.0,17/02/2024
TAEE4,Taesa,357.200,"11,97","-0,42%",12288282624.0,17/02/2024
BPAN4,Banco Pan,7.961.300,"9,05","+2,96%",11484812288.0,17/02/2024
GOAU4,Metalúrgica Gerdau,5.606.100,"9,99","+2,04%",10440848384.0,17/02/2024
GOAU3,Metalúrgica Gerdau,61.000,"10,33","+2,38%",10440840192.0,17/02/2024
CEEB5,COELBA,100,"36,85","+2,05%",10367562752.0,17/02/2024
CEEB3,COELBA,100,"39,87","+0,94%",10367555584.0,17/02/2024
BNBR3,Banco do Nordeste,300,"117,00","-0,02%",10105465856.0,17/02/2024
STBP3,Santos Brasil,4.767.600,"10,82","-3,13%",9342658560.0,17/02/2024
VAMO3,Grupo Vamos,8.081.700,"8,27","+4,03%",9067475968.0,17/02/2024
SMTO3,São Martinho,2.554.700,"25,90","-0,84%",8971112448.0,17/02/2024
ALUP3,Alupar,7.200,"9,71","-0,41%",8877619200.0,17/02/2024
ALUP4,Alupar,8.200,"9,71","-0,10%",8877619200.0,17/02/2024
FLRY3,Fleury,2.175.700,"15,88","-0,13%",8655251456.0,17/02/2024
SLCE3,SLC Agrícola,6.836.100,"19,50","+4,17%",8578693120.0,17/02/2024
BRAP4,Bradespar,6.275.900,"22,25","+1,83%",8555970048.0,17/02/2024
BRAP3,Bradespar,30.200,"20,87","+2,81%",8555969536.0,17/02/2024
MRFG3,Marfrig,3.039.800,"9,05","-0,66%",8377196032.0,17/02/2024
CSMG3,COPASA,1.027.400,"21,79","+0,55%",8262353920.0,17/02/2024
CYRE3,Cyrela,3.763.700,"22,03","-0,32%",8259509760.0,17/02/2024
GOLL4,GOL,8.933.400,"2,57","+1,18%",8226852352.0,17/02/2024
SAPR4,Sanepar,2.757.200,"5,37","+1,13%",7979175936.0,17/02/2024
SAPR3,Sanepar,223.100,"5,10","+1,39%",7979153920.0,17/02/2024
MRSA5B,MRS Logística,300,"23,06","+0,00%",7811297792.0,17/02/2024
MRSA3B,MRS Logística,400,"23,15","-10,96%",7811295744.0,17/02/2024
MRSA6B,MRS Logística,200,"23,07","+0,04%",7811294208.0,17/02/2024
VIVA3,Vivara,1.226.800,"32,05","+0,50%",7538608640.0,17/02/2024
EKTR4,Elektro,300,"39,03","+0,03%",7467805184.0,17/02/2024
EKTR3,Elektro,200,"38,00","+0,03%",7467797504.0,17/02/2024
PORT3,Wilson Sons,316.000,"16,84","+0,00%",7409414656.0,17/02/2024
ODPV3,Odontoprev,717.500,"13,20","+0,00%",7292946944.0,17/02/2024
POMO3,Marcopolo,254.500,"6,42","+1,26%",7160289792.0,17/02/2024
POMO4,Marcopolo,4.084.400,"8,28","+0,49%",7160279040.0,17/02/2024
RRRP3,3R Petroleum,4.670.400,"29,33","+2,88%",7050462720.0,17/02/2024
UNIP6,Unipar,98.800,"68,27","+0,50%",6916706304.0,17/02/2024
UNIP3,Unipar,3.100,"64,25","+0,74%",6916705280.0,17/02/2024
UNIP5,Unipar,400,"72,49","-0,67%",6916690944.0,17/02/2024
RECV3,PetroRecôncavo,2.278.300,"23,35","+3,59%",6841222656.0,17/02/2024
WHRL4,Whirlpool,2.700,"4,58","+0,22%",6563872256.0,17/02/2024
WHRL3,Whirlpool,1.200,"4,27","+1,43%",6563844096.0,17/02/2024
ARZZ3,Arezzo,2.056.600,"58,78","+0,26%",6514822144.0,17/02/2024
INTB3,Intelbras,626.900,"19,68","-0,10%",6447384576.0,17/02/2024
SIMH3,Simpar,4.542.600,"7,43","+1,09%",6402215424.0,17/02/2024
ALPA4,Alpargatas,5.005.400,"9,34","+2,52%",6390652416.0,17/02/2024
ALPA3,Alpargatas,6.000,"9,59","+1,80%",6390651392.0,17/02/2024
ECOR3,EcoRodovias,1.665.500,"9,01","-1,31%",6267545088.0,17/02/2024
SRNA3,SRNA3,361.400,"10,04","+1,21%",6252219392.0,17/02/2024
AESB3,AES Brasil,1.797.700,"10,35","+0,88%",6229944320.0,17/02/2024
BRSR5,Banrisul,200,"18,47","-0,11%",6080120320.0,17/02/2024
BRSR3,Banrisul,3.200,"14,79","+0,75%",6080110080.0,17/02/2024
BRSR6,Banrisul,589.800,"14,92","+0,00%",6080108544.0,17/02/2024
DXCO3,Dexco,3.406.000,"7,42","+0,95%",5996413952.0,17/02/2024
ENAT3,Enauta,3.726.600,"22,24","+9,45%",5859684352.0,17/02/2024
GRND3,Grendene,1.302.800,"6,45","+0,94%",5816132608.0,17/02/2024
ABCB4,Banco ABC Brasil,716.000,"24,75","+1,14%",5777689600.0,17/02/2024
YDUQ3,YDUQS,4.753.700,"19,10","+2,52%",5565109760.0,17/02/2024
SOMA3,Grupo Soma,13.397.700,"7,09","+1,87%",5563856384.0,17/02/2024
DASA3,Dasa,185.600,"7,25","-0,82%",5416293888.0,17/02/2024
CASN3,CASAN,100,"10,43","-18,39%",5406505984.0,17/02/2024
SHUL3,Schulz,100,"27,94","-50,12%",5226316800.0,17/02/2024
CURY3,Cury,1.218.300,"17,98","+0,00%",5212114432.0,17/02/2024
ONCO3,Oncoclínicas,5.945.600,"10,17","-6,53%",5169329664.0,17/02/2024
BAZA3,Banco da Amazônia,3.400,"88,30","+0,78%",4949947904.0,17/02/2024
VULC3,Vulcabras,838.100,"18,13","+2,14%",4935891968.0,17/02/2024
MOAR3,Monteiro Aranha,100,"398,97","+2,83%",4887861248.0,17/02/2024
EQMA3B,Equatorial Maranhão,200,"29,49","-1,04%",4841786368.0,17/02/2024
TTEN3,3tentos,1.663.200,"9,63","-1,43%",4797791232.0,17/02/2024
CSRN3,COSERN,200,"28,40","+0,00%",4714229760.0,17/02/2024
CSRN5,COSERN,100,"28,13","+0,46%",4714222592.0,17/02/2024
CSRN6,COSERN,100,"25,38","-2,38%",4714207744.0,17/02/2024
ARML3,Armac,382.700,"13,61","-0,37%",4703057920.0,17/02/2024
BSLI3,Banco de Brasília,800,"12,76","-0,62%",4541283840.0,17/02/2024
BSLI4,Banco de Brasília,600,"11,66","-0,68%",4541278720.0,17/02/2024
LEVE3,Mahle Metal Leve,360.200,"33,45","+1,15%",4533779968.0,17/02/2024
COGN3,Cogna,39.418.200,"2,42","+2,11%",4530143744.0,17/02/2024
AZUL4,Azul,13.198.400,"12,20","+0,33%",4240231936.0,17/02/2024
FRAS3,Fras-le,180.200,"15,67","+2,02%",4184140800.0,17/02/2024
MRVE3,MRV,21.921.000,"7,30","+3,40%",4108622848.0,17/02/2024
LOGN3,Log-In,19.500,"37,84","-1,59%",4004985600.0,17/02/2024
GPAR3,CELGPAR,100,"50,00","+11,11%",3983800064.0,17/02/2024
FESA4,Ferbasa,694.700,"9,51","+1,93%",3928561920.0,17/02/2024
FESA3,Ferbasa,100,"15,39","-0,71%",3928559360.0,17/02/2024
BEEF3,Minerva,8.631.500,"6,52","+0,93%",3825942784.0,17/02/2024
DIRR3,Direcional,1.147.400,"22,10","+1,42%",3816537344.0,17/02/2024
TUPY3,Tupy,287.300,"25,26","+1,04%",3635621376.0,17/02/2024
COCE3,Coelce,200,"50,01","+2,86%",3564217344.0,17/02/2024
IGTI3,Iguatemi,80.900,"2,89","+0,35%",3556492032.0,17/02/2024
IGTI3,Jereissati Participações,80.900,"2,89","+0,35%",3556492032.0,17/02/2024
RAPT4,Randon,1.872.600,"10,72","+0,94%",3507659264.0,17/02/2024
RAPT3,Randon,9.800,"10,62","+1,53%",3507658496.0,17/02/2024
EZTC3,EZTEC,2.536.700,"15,36","+3,23%",3350415360.0,17/02/2024
IRBR3,IRB Brasil RE,1.306.300,"40,51","+1,27%",3315289600.0,17/02/2024
LWSA3,Locaweb,8.290.600,"5,42","+2,65%",3195946240.0,17/02/2024
BEES4,Banestes,4.200,"10,00","-0,50%",3064419840.0,17/02/2024
BEES3,Banestes,5.500,"9,59","-0,42%",3064417536.0,17/02/2024
JSLG3,JSL,331.100,"10,75","+0,37%",3058751232.0,17/02/2024
CBEE3,Ampla Energia,200,"12,00","-7,69%",3048420096.0,17/02/2024
